,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000338826.jpg,4,It is a building with a small fire hydrant in front of a big pole,15,full_sample,1556317069042,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A garden with a tree and a bench.,bottom right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",top right,bottom left,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: A garden with a tree and a bench.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: A garden with a tree and a bench.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A garden with a tree and a bench. is referring to top right.']"
1,1,0,COCO_val2014_000000436138.jpg,4,It is a building with a ladder going to the front door,12,full_sample,1556317118999,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A house with a balcony.,top left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",bottom left,bottom right,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: A house with a balcony.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: A house with a balcony.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A house with a balcony. is referring to bottom left.']"
2,2,0,COCO_val2014_000000201004.jpg,4,It is a building that has like a big watchtower on the left,13,full_sample,1556317183595,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A building with columns.,top right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",bottom right,top right,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: A building with columns.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: A building with columns.? ASSISTANT: top right</s></s>', 'USER: wrong, A building with columns. is referring to bottom right.']"
3,3,0,COCO_val2014_000000479099.jpg,4,Basically a tree right in the middle may be the building behind,12,full_sample,1556317235978,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A brick wall with a tree.,bottom left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",top left,top left,"['\nRound 4', '\nTarget: bottom left. Message: ASSISTANT: A brick wall with a tree.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: A brick wall with a tree.? ASSISTANT: top left</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000338826.jpg,4,Building with the fire hydrant,5,full_sample,1556317257457,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A garden with a tree and a bench.,bottom right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",top right,top right,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: A garden with a tree and a bench.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: A garden with a tree and a bench.? ASSISTANT: top right</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000201004.jpg,4,Watchtower,1,full_sample,1556317279997,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A building with columns.,top right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",bottom right,top left,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: A building with columns.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: A building with columns.? ASSISTANT: top left</s></s>', 'USER: wrong, A building with columns. is referring to bottom right.']"
6,6,1,COCO_val2014_000000436138.jpg,4,Ladder,1,full_sample,1556317297390,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A house with a balcony.,top left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",bottom left,bottom left,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: A house with a balcony.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 7', '\nWhich image is this message referring to: A house with a balcony.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
7,7,1,COCO_val2014_000000479099.jpg,4,Tree in the middle,4,full_sample,1556317315258,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A brick wall with a tree.,bottom left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",top left,top left,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: A brick wall with a tree.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 8', '\nWhich image is this message referring to: A brick wall with a tree.? ASSISTANT: top left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000201004.jpg,4,Watchtower,1,full_sample,1556317329590,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A building with columns.,top right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",bottom right,top right,"['\nRound 9', '\nTarget: top right. Message: ASSISTANT: A building with columns.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A building with columns.? ASSISTANT: top right</s></s>', 'USER: wrong, A building with columns. is referring to bottom right.']"
9,9,2,COCO_val2014_000000436138.jpg,4,Ladder,1,full_sample,1556317342385,target,True,"['COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg']",A house with a balcony.,top left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000201004.jpg']",bottom left,bottom right,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: A house with a balcony.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: A house with a balcony.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A house with a balcony. is referring to bottom left.']"
