,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000501898.jpg,84,The woman has a pink shirt,6,full_sample,1555373327703,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the top right image is wearing a pink shirt.""",top right,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",bottom right,bottom right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: ""The person in the top right image is wearing a pink shirt.""</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: ""The person in the top right image is wearing a pink shirt.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000191721.jpg,84,The woman has a red skirt/shorts,6,full_sample,1555373343270,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the bottom left image is wearing a white shirt.""",bottom left,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",bottom left,top left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: ""The person in the bottom left image is wearing a white shirt.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: ""The person in the bottom left image is wearing a white shirt.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The person in the bottom left image is wearing a white shirt."" is referring to bottom left.']"
2,2,0,COCO_val2014_000000284220.jpg,84,It's the boy,3,full_sample,1555373353926,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the top left image is wearing a red shirt.""",top left,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",top left,top left,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: ""The person in the top left image is wearing a red shirt.""</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: ""The person in the top left image is wearing a red shirt.""? ASSISTANT: top left</s></s>', 'USER: correct.']"
3,3,0,COCO_val2014_000000580847.jpg,84,Girl with all white clothes,5,full_sample,1555373367659,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the bottom right image is wearing a white shirt.""",bottom right,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",top right,bottom right,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: ""The person in the bottom right image is wearing a white shirt.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: ""The person in the bottom right image is wearing a white shirt.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The person in the bottom right image is wearing a white shirt."" is referring to top right.']"
4,4,1,COCO_val2014_000000501898.jpg,84,Pink shirt again,3,full_sample,1555373379987,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the top right image is wearing a red shirt.""",top right,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",bottom right,top right,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: ""The person in the top right image is wearing a red shirt.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: ""The person in the top right image is wearing a red shirt.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The person in the top right image is wearing a red shirt."" is referring to bottom right.']"
5,5,1,COCO_val2014_000000191721.jpg,84,Red skirt/shorts again,3,full_sample,1555373390336,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the bottom left image is wearing a red shirt.""",bottom left,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",bottom left,bottom left,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: ""The person in the bottom left image is wearing a red shirt.""</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: ""The person in the bottom left image is wearing a red shirt.""? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
6,6,1,COCO_val2014_000000580847.jpg,84,Girl w/ all white,4,full_sample,1555373399483,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the bottom right image is wearing a white shirt.""",bottom right,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",top right,bottom right,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: ""The person in the bottom right image is wearing a white shirt.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: ""The person in the bottom right image is wearing a white shirt.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The person in the bottom right image is wearing a white shirt."" is referring to top right.']"
7,7,1,COCO_val2014_000000284220.jpg,84,boy,1,full_sample,1555373407533,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the top left image is wearing a red shirt.""",top left,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",top left,top left,"['\nRound 8', '\nTarget: top left. Message: ASSISTANT: ""The person in the top left image is wearing a red shirt.""</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: ""The person in the top left image is wearing a red shirt.""? ASSISTANT: top left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000191721.jpg,84,red skirt,2,full_sample,1555373416977,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the bottom left image is wearing a white shirt.""",bottom left,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",bottom left,top left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: ""The person in the bottom left image is wearing a white shirt.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 9', '\nWhich image is this message referring to: ""The person in the bottom left image is wearing a white shirt.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The person in the bottom left image is wearing a white shirt."" is referring to bottom left.']"
9,9,2,COCO_val2014_000000580847.jpg,84,all white,2,full_sample,1555373425699,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the bottom right image is wearing a white shirt.""",bottom right,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",top right,bottom right,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: ""The person in the bottom right image is wearing a white shirt.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: ""The person in the bottom right image is wearing a white shirt.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The person in the bottom right image is wearing a white shirt."" is referring to top right.']"
10,10,2,COCO_val2014_000000284220.jpg,84,boy,1,full_sample,1555373432023,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the top left image is wearing a red shirt.""",top left,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",top left,top left,"['\nRound 11', '\nTarget: top left. Message: ASSISTANT: ""The person in the top left image is wearing a red shirt.""</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 11', '\nWhich image is this message referring to: ""The person in the top left image is wearing a red shirt.""? ASSISTANT: top left</s></s>', 'USER: correct.']"
11,11,2,COCO_val2014_000000501898.jpg,84,pink shirt,2,full_sample,1555373440165,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the top right image is wearing a red shirt.""",top right,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",bottom right,top right,"['\nRound 12', '\nTarget: top right. Message: ASSISTANT: ""The person in the top right image is wearing a red shirt.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 12', '\nWhich image is this message referring to: ""The person in the top right image is wearing a red shirt.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The person in the top right image is wearing a red shirt."" is referring to bottom right.']"
12,12,3,COCO_val2014_000000191721.jpg,84,red skirt,2,full_sample,1555373448282,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the bottom left image is wearing a white shirt.""",bottom left,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",bottom left,top left,"['\nRound 13', '\nTarget: bottom left. Message: ASSISTANT: ""The person in the bottom left image is wearing a white shirt.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 13', '\nWhich image is this message referring to: ""The person in the bottom left image is wearing a white shirt.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The person in the bottom left image is wearing a white shirt."" is referring to bottom left.']"
13,13,3,COCO_val2014_000000501898.jpg,84,pink shirt,2,full_sample,1555373459004,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the top right image is wearing a red shirt.""",top right,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",bottom right,top right,"['\nRound 14', '\nTarget: top right. Message: ASSISTANT: ""The person in the top right image is wearing a red shirt.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 14', '\nWhich image is this message referring to: ""The person in the top right image is wearing a red shirt.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The person in the top right image is wearing a red shirt."" is referring to bottom right.']"
14,14,3,COCO_val2014_000000580847.jpg,84,all white,2,full_sample,1555373467335,target,True,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000501898.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000580847.jpg']","""The person in the bottom right image is wearing a white shirt.""",bottom right,"['COCO_val2014_000000284220.jpg', 'COCO_val2014_000000580847.jpg', 'COCO_val2014_000000191721.jpg', 'COCO_val2014_000000501898.jpg']",top right,bottom right,"['\nRound 15', '\nTarget: bottom right. Message: ASSISTANT: ""The person in the bottom right image is wearing a white shirt.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 15', '\nWhich image is this message referring to: ""The person in the bottom right image is wearing a white shirt.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The person in the bottom right image is wearing a white shirt."" is referring to top right.']"
