,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000190700.jpg,69,red hat,2,full_sample,1555375827729,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the bottom left is wearing a pumpkin costume.""",bottom left,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",top left,bottom left,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: ""The bear in the bottom left is wearing a pumpkin costume.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: ""The bear in the bottom left is wearing a pumpkin costume.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The bear in the bottom left is wearing a pumpkin costume."" is referring to top left.']"
1,1,0,COCO_val2014_000000475330.jpg,69,pumpkin shirt,2,full_sample,1555375851767,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the top left is wearing a turkey costume.""",top left,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",top right,top left,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: ""The bear in the top left is wearing a turkey costume.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: ""The bear in the top left is wearing a turkey costume.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The bear in the top left is wearing a turkey costume."" is referring to top right.']"
2,2,0,COCO_val2014_000000322987.jpg,69,pink top with polka dots,5,full_sample,1555375881295,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the bottom right is wearing a dress.""",bottom right,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",bottom right,bottom right,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: ""The bear in the bottom right is wearing a dress.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: ""The bear in the bottom right is wearing a dress.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
3,3,0,COCO_val2014_000000516766.jpg,69,"white bear, big nose",4,full_sample,1555375900615,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the top right is wearing a blue scarf.""",top right,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",bottom left,top right,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: ""The bear in the top right is wearing a blue scarf.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 4', '\nWhich image is this message referring to: ""The bear in the top right is wearing a blue scarf.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The bear in the top right is wearing a blue scarf."" is referring to bottom left.']"
4,4,1,COCO_val2014_000000475330.jpg,69,pumpkin shirt,2,full_sample,1555375915704,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the top left is wearing a red scarf.""",top left,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",top right,top left,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: ""The bear in the top left is wearing a red scarf.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: ""The bear in the top left is wearing a red scarf.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The bear in the top left is wearing a red scarf."" is referring to top right.']"
5,5,1,COCO_val2014_000000190700.jpg,69,red hat,2,full_sample,1555375928963,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the bottom left is wearing a red hat.""",bottom left,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",top left,bottom left,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: ""The bear in the bottom left is wearing a red hat.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: ""The bear in the bottom left is wearing a red hat.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The bear in the bottom left is wearing a red hat."" is referring to top left.']"
6,6,1,COCO_val2014_000000322987.jpg,69,pink top,2,full_sample,1555375942399,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the bottom right is holding a red rose.""",bottom right,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",bottom right,bottom right,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: ""The bear in the bottom right is holding a red rose.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: ""The bear in the bottom right is holding a red rose.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
7,7,1,COCO_val2014_000000516766.jpg,69,big nose,2,full_sample,1555375956904,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the top right is wearing a blue scarf.""",top right,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",bottom left,top right,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: ""The bear in the top right is wearing a blue scarf.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: ""The bear in the top right is wearing a blue scarf.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The bear in the top right is wearing a blue scarf."" is referring to bottom left.']"
8,8,2,COCO_val2014_000000322987.jpg,69,pink top,2,full_sample,1555375974744,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the bottom right is wearing a pink dress.""",bottom right,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",bottom right,bottom right,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: ""The bear in the bottom right is wearing a pink dress.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: ""The bear in the bottom right is wearing a pink dress.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000475330.jpg,69,pumpkin shirt,2,full_sample,1555375990224,target,True,"['COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000190700.jpg', 'COCO_val2014_000000322987.jpg']","""The bear in the top left is wearing a green scarf.""",top left,"['COCO_val2014_000000190700.jpg', 'COCO_val2014_000000475330.jpg', 'COCO_val2014_000000516766.jpg', 'COCO_val2014_000000322987.jpg']",top right,top left,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: ""The bear in the top left is wearing a green scarf.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: ""The bear in the top left is wearing a green scarf.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The bear in the top left is wearing a green scarf."" is referring to top right.']"
