,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000334417.jpg,0,A grown man is in a tuxedo is eating something,10,full_sample,1556320639231,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,bottom left,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",bottom right,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000473237.jpg,0,A black girl is eating pizza,6,full_sample,1556320657748,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,top right,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",top left,bottom right,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to top left.']"
2,2,0,COCO_val2014_000000553667.jpg,0,A black girl with red earrings is eating a sandwich with her eyes almost closed,15,full_sample,1556320710918,distr2,False,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,bottom right,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",top right,top left,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: top left</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to top right.']"
3,3,0,COCO_val2014_000000359105.jpg,0,A little girl is eating a cupcake and looking at the camera,12,full_sample,1556320737250,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,top left,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",bottom left,top right,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: top right</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to bottom left.']"
4,4,1,COCO_val2014_000000334417.jpg,0,Grown man in tuxedo eating something,6,full_sample,1556320754015,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,bottom left,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",bottom right,bottom left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to bottom right.']"
5,5,1,COCO_val2014_000000359105.jpg,0,little girl eating a cupcake,5,full_sample,1556320770265,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,top left,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",bottom left,top left,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: top left</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to bottom left.']"
6,6,1,COCO_val2014_000000473237.jpg,0,little girl eating a square piece of pizza,8,full_sample,1556320795614,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,top right,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",top left,bottom left,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 7', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to top left.']"
7,7,1,COCO_val2014_000000553667.jpg,0,"girl with red earrings eating a sandwich or hotdog, eyes almost closed",12,full_sample,1556320829300,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,bottom right,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",top right,top left,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: top left</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to top right.']"
8,8,2,COCO_val2014_000000334417.jpg,0,grown man in tuxedo eating,5,full_sample,1556320844544,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,bottom left,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",bottom right,top right,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: top right</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to bottom right.']"
9,9,2,COCO_val2014_000000359105.jpg,0,little girl eating a cupcake,5,full_sample,1556320856597,target,True,"['COCO_val2014_000000359105.jpg', 'COCO_val2014_000000473237.jpg', 'COCO_val2014_000000334417.jpg', 'COCO_val2014_000000553667.jpg']",A slice of pizza with pepperoni and a thick crust.,top left,"['COCO_val2014_000000473237.jpg', 'COCO_val2014_000000553667.jpg', 'COCO_val2014_000000359105.jpg', 'COCO_val2014_000000334417.jpg']",bottom left,bottom right,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: A slice of pizza with pepperoni and a thick crust.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: A slice of pizza with pepperoni and a thick crust.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A slice of pizza with pepperoni and a thick crust. is referring to bottom left.']"
