,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000541123.jpg,29,The tennis game,3,full_sample,1555373605518,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']","Bottom left. Feedback: ""Baseball game in progress. Batter up to bat. Pitcher on mound. Catch",bottom left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",bottom left,bottom left.,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: Bottom left. Feedback: ""Baseball game in progress. Batter up to bat. Pitcher on mound. Catch</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 1', '\nWhich image is this message referring to: Bottom left. Feedback: ""Baseball game in progress. Batter up to bat. Pitcher on mound. Catch? ASSISTANT: bottom left.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
1,1,0,COCO_val2014_000000102478.jpg,29,"Baseball where you can see the umpire, Baseball with no slider",11,full_sample,1555373652158,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Top right.,top right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",bottom right,top right.,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: Top right.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 2', '\nWhich image is this message referring to: Top right.? ASSISTANT: top right.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
2,2,0,COCO_val2014_000000377588.jpg,29,Baseball with slider,3,full_sample,1555373665368,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Bottom right.,bottom right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",top left,bottom right.,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: Bottom right.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 3', '\nWhich image is this message referring to: Bottom right.? ASSISTANT: bottom right.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
3,3,0,COCO_val2014_000000124712.jpg,29,Kids baseball game,3,full_sample,1555373679244,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Bottom left.,top left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",top right,bottom left.,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: Bottom left.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 4', '\nWhich image is this message referring to: Bottom left.? ASSISTANT: bottom left.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
4,4,1,COCO_val2014_000000541123.jpg,29,They are playing tennis,4,full_sample,1555373691364,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Bottom left.,bottom left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",bottom left,bottom left.,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: Bottom left.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 5', '\nWhich image is this message referring to: Bottom left.? ASSISTANT: bottom left.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
5,5,1,COCO_val2014_000000124712.jpg,29,Baseball with kids and parents,5,full_sample,1555373709068,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Bottom left.,top left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",top right,bottom left.,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: Bottom left.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 6', '\nWhich image is this message referring to: Bottom left.? ASSISTANT: bottom left.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
6,6,1,COCO_val2014_000000102478.jpg,29,The ball is being pitched,5,full_sample,1555373727428,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Bottom right.,top right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",bottom right,bottom right.,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: Bottom right.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 7', '\nWhich image is this message referring to: Bottom right.? ASSISTANT: bottom right.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
7,7,1,COCO_val2014_000000377588.jpg,29,He's sliding into second base,5,full_sample,1555373740508,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Bottom right.,bottom right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",top left,bottom right.,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: Bottom right.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 8', '\nWhich image is this message referring to: Bottom right.? ASSISTANT: bottom right.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
8,8,2,COCO_val2014_000000124712.jpg,29,A kid is holding a bat,6,full_sample,1555373752852,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Bottom left.,top left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",top right,bottom left.,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: Bottom left.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 9', '\nWhich image is this message referring to: Bottom left.? ASSISTANT: bottom left.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
9,9,2,COCO_val2014_000000541123.jpg,29,They are all wearing red shirts,6,full_sample,1555373763436,target,True,"['COCO_val2014_000000124712.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg']",Bottom left.,bottom left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg']",bottom left,bottom left.,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: Bottom left.</s></s>', ""USER: the listener didn't give a valid answer.""]","['\nRound 10', '\nWhich image is this message referring to: Bottom left.? ASSISTANT: bottom left.</s></s>', 'USER: invalid answer. Answer must be one of top left, top right, bottom left, bottom right.']"
