,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000022118.jpg,94,There are umbrellas and a teenage boy standing to the left side of the picture,15,full_sample,1555373028881,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Sunbathers under umbrella on beach.""",top left,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",top right,bottom right,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: ""Sunbathers under umbrella on beach.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: ""Sunbathers under umbrella on beach.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Sunbathers under the umbrella on the beach."" is referring to top right.']"
1,1,0,COCO_val2014_000000490244.jpg,94,There are a bunch of surf boards lined up,9,full_sample,1555373051226,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Surfboards on the beach.""",bottom right,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",top left,top left,"['\nRound 2', '\nTarget: bottom right. Message: ASSISTANT: ""Surfboards on the beach.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: ""Surfboards on the beach.""? ASSISTANT: top left</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000234595.jpg,94,THere is a single row of red umbrellas,8,full_sample,1555373075636,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Sunbathers under umbrella on beach.""",top right,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",bottom left,bottom right,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: ""Sunbathers under umbrella on beach.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: ""Sunbathers under umbrella on beach.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Palm trees on the beach."" is referring to bottom left.']"
3,3,0,COCO_val2014_000000388846.jpg,94,There are rows and rows of umbrellas and two green lounge chairs to the right in the picture,18,full_sample,1555373110264,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Surfboards on the beach.""",bottom left,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",bottom right,top left,"['\nRound 4', '\nTarget: bottom left. Message: ASSISTANT: ""Surfboards on the beach.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: ""Surfboards on the beach.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""Surfboards on the beach."" is referring to bottom right.']"
4,4,1,COCO_val2014_000000234595.jpg,94,There are one row of umbrellas and the sky has a lot of clouds,14,full_sample,1555373136221,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Sunbathers under umbrella on beach.""",top right,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",bottom left,bottom right,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: ""Sunbathers under umbrella on beach.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: ""Sunbathers under umbrella on beach.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Sunbathers under umbrella on beach."" is referring to bottom left.']"
5,5,1,COCO_val2014_000000022118.jpg,94,There is a teenage boy to the left and a green and blue umbrealla,14,full_sample,1555373161475,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Sunbathers under umbrella on beach.""",top left,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",top right,bottom right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: ""Sunbathers under umbrella on beach.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: ""Sunbathers under umbrella on beach.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Sunbathers under umbrella on beach."" is referring to top right.']"
6,6,1,COCO_val2014_000000388846.jpg,94,Rows of umbrellas and tall buildings in the background,9,full_sample,1555373188020,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Surfboards on the beach.""",bottom left,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",bottom right,top left,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: ""Surfboards on the beach.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: ""Surfboards on the beach.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""Surfboards on the beach."" is referring to bottom right.']"
7,7,1,COCO_val2014_000000490244.jpg,94,There are surfboards and an American flag,7,full_sample,1555373206700,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Surfboards on the beach.""",bottom right,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",top left,top left,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: ""Surfboards on the beach.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: ""Surfboards on the beach.""? ASSISTANT: top left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000022118.jpg,94,There is a teenage boy to the left of the pucture,11,full_sample,1555373225770,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Sunbathers under umbrella on beach.""",top left,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",top right,bottom right,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: ""Sunbathers under umbrella on beach.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: ""Sunbathers under umbrella on beach.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Sunbathers under umbrella on beach."" is referring to top right.']"
9,9,2,COCO_val2014_000000490244.jpg,94,There are surf boards and an American flag,8,full_sample,1555373244176,target,True,"['COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg', 'COCO_val2014_000000490244.jpg']","""Surfboards on the beach.""",bottom right,"['COCO_val2014_000000490244.jpg', 'COCO_val2014_000000022118.jpg', 'COCO_val2014_000000234595.jpg', 'COCO_val2014_000000388846.jpg']",top left,top left,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: ""Surfboards on the beach.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: ""Surfboards on the beach.""? ASSISTANT: top left</s></s>', 'USER: correct.']"
