,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000212545.jpg,77,the little kid in a sheriff hat with a dog,10,full_sample,1555374866602,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Man holding a white cat.,top right,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",top left,bottom right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: Man holding a white cat.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: Man holding a white cat.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Man holding a cat. is referring to top left.']"
1,1,0,COCO_val2014_000000468043.jpg,77,the little boy on the sheep with the water in the back,12,full_sample,1555374885912,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Boy sitting on a boat.,bottom left,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",bottom left,bottom left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: Boy sitting on a boat.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: Boy sitting on a boat.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000318888.jpg,77,the older man with the little puppy,7,full_sample,1555374907174,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Man holding a white cat.,top left,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",top right,top left,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: Man holding a white cat.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: Man holding a white cat.? ASSISTANT: top left</s></s>', 'USER: wrong, Man holding a white cat. is referring to top right.']"
3,3,0,COCO_val2014_000000193401.jpg,77,the person with the red jacket and the mini horse,10,full_sample,1555374926688,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Man sitting on a boat.,bottom right,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",bottom right,bottom left,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: Man sitting on a boat.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: Man sitting on a boat.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Man sitting on a boat. is referring to bottom right.']"
4,4,1,COCO_val2014_000000318888.jpg,77,the old man and the puppy,6,full_sample,1555374939256,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Man holding a white cat.,top left,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",top right,top right,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: Man holding a white cat.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: Man holding a white cat.? ASSISTANT: top right</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000193401.jpg,77,the red jacket and mini horse,6,full_sample,1555374952018,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Man sitting on a boat.,bottom right,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",bottom right,bottom left,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: Man sitting on a boat.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: Man sitting on a boat.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Man sitting on a boat. is referring to bottom right.']"
6,6,1,COCO_val2014_000000468043.jpg,77,the little boy and the sheep,6,full_sample,1555374964878,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Boy sitting on a boat.,bottom left,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",bottom left,bottom left,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: Boy sitting on a boat.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: Boy sitting on a boat.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
7,7,1,COCO_val2014_000000212545.jpg,77,the child in the sheriff hat and the dog,9,full_sample,1555374978860,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Man holding a white cat.,top right,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",top left,top left,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: Man holding a white cat.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: Man holding a white cat.? ASSISTANT: top left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000318888.jpg,77,the older man and the puppy,6,full_sample,1555374991615,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Man holding a white cat.,top left,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",top right,top right,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: Man holding a white cat.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 9', '\nWhich image is this message referring to: Man holding a white cat.? ASSISTANT: top right</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000468043.jpg,77,the little boy and the sheep,6,full_sample,1555375003436,target,True,"['COCO_val2014_000000318888.jpg', 'COCO_val2014_000000212545.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",Man holding a white cat.,bottom left,"['COCO_val2014_000000212545.jpg', 'COCO_val2014_000000318888.jpg', 'COCO_val2014_000000468043.jpg', 'COCO_val2014_000000193401.jpg']",bottom left,top left,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: Man holding a white cat.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: Man holding a white cat.? ASSISTANT: top left</s></s>', 'USER: wrong, Boy sitting on a boat. is referring to bottom left.']"
