,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000027285.jpg,43,Kitchen with white refrigerator and wood panel background,8,full_sample,1555374249753,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,bottom right,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",top right,bottom left,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to top right.']"
1,1,0,COCO_val2014_000000053697.jpg,43,"Microwave in far right corner and old, old stove in middle",11,full_sample,1555374293157,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,bottom left,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",bottom left,top right,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: top right</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to bottom left.']"
2,2,0,COCO_val2014_000000548523.jpg,43,Modern kitchen with black / gray exterior and cardboard boxes on lower shelves,13,full_sample,1555374337657,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,top right,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",bottom right,bottom left,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to bottom right.']"
3,3,0,COCO_val2014_000000454907.jpg,43,The only option you haven't selected. Kitchen with wood cabinet drawers. Refrigerator at far right of picture,17,full_sample,1555374397693,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,top left,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",top left,bottom right,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to top left.']"
4,4,1,COCO_val2014_000000027285.jpg,43,White refrigerator on left and wood paneling behind appliances,9,full_sample,1555374434913,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,bottom right,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",top right,top left,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: top left</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to top right.']"
5,5,1,COCO_val2014_000000454907.jpg,43,Wood panel cabinets and drawers with refrigerator at far right,10,full_sample,1555374474317,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,top left,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",top left,top right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 6', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: top right</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to top left.']"
6,6,1,COCO_val2014_000000548523.jpg,43,Black / grey exterior with cardboard boxes below,8,full_sample,1555374501457,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,top right,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",bottom right,top left,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 7', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: top left</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to bottom right.']"
7,7,1,COCO_val2014_000000053697.jpg,43,"Old, old stove in middle with microwave at far right",10,full_sample,1555374536197,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,bottom left,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",bottom left,bottom right,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to bottom left.']"
8,8,2,COCO_val2014_000000454907.jpg,43,Wood paneled drawers and cabinets,5,full_sample,1555374554641,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,top left,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",top left,bottom left,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to top left.']"
9,9,2,COCO_val2014_000000548523.jpg,43,Black / grey with cardboard boxes below,7,full_sample,1555374576621,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,top right,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",bottom right,top left,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 10', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: top left</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to bottom right.']"
10,10,2,COCO_val2014_000000053697.jpg,43,"Old, old stove with microwave at far right",8,full_sample,1555374596849,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,bottom left,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",bottom left,bottom right,"['\nRound 11', '\nTarget: bottom left. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 11', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to bottom left.']"
11,11,2,COCO_val2014_000000027285.jpg,43,White refrigerator at left and wood panel in back,9,full_sample,1555374618882,target,True,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000548523.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000027285.jpg']",A kitchen with a stove and a refrigerator.,bottom right,"['COCO_val2014_000000454907.jpg', 'COCO_val2014_000000027285.jpg', 'COCO_val2014_000000053697.jpg', 'COCO_val2014_000000548523.jpg']",top right,bottom left,"['\nRound 12', '\nTarget: bottom right. Message: ASSISTANT: A kitchen with a stove and a refrigerator.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 12', '\nWhich image is this message referring to: A kitchen with a stove and a refrigerator.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A kitchen with a stove and a refrigerator. is referring to top right.']"
