,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000159716.jpg,13,"broccoli, rice, peas, one carrot",5,full_sample,1556320629681,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The top right image showcases a vibrant stir-fry with chunks of beef and a medley of colorful vegetables",top right,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",bottom right,top right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: ""The top right image showcases a vibrant stir-fry with chunks of beef and a medley of colorful vegetables</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: ""The top right image showcases a vibrant stir-fry with chunks of beef and a medley of colorful vegetables? ASSISTANT: top right</s></s>', 'USER: wrong, ""The top right image features a dish with meat and vegetables."" is referring to bottom right.']"
1,1,0,COCO_val2014_000000558640.jpg,13,red bowl,2,full_sample,1556320653592,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The bottom left image displays a hearty bowl of soup, brimming with chunks of meat and vegetables.""",bottom left,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",top left,bottom left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: ""The bottom left image displays a hearty bowl of soup, brimming with chunks of meat and vegetables.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: ""The bottom left image displays a hearty bowl of soup, brimming with chunks of meat and vegetables.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The bottom left image presents a delicious bowl of soup, filled with chunks of meat and vegetables"" is referring to top left.']"
2,2,0,COCO_val2014_000000214919.jpg,13,white container on wooden table,5,full_sample,1556320693704,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The top left image showcases a dish with meat and vegetables, served on a bed of rice.""",top left,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",bottom left,top left,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: ""The top left image showcases a dish with meat and vegetables, served on a bed of rice.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: ""The top left image showcases a dish with meat and vegetables, served on a bed of rice.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The top left image presents a delicious-looking dish of meat and vegetables, served on a bed of rice."" is referring to bottom left.']"
3,3,0,COCO_val2014_000000256660.jpg,13,3 carrots,2,full_sample,1556320716264,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The bottom right image displays a plate of meat and vegetables, served with a side of rice.""",bottom right,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",top right,bottom right,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: ""The bottom right image displays a plate of meat and vegetables, served with a side of rice.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: ""The bottom right image displays a plate of meat and vegetables, served with a side of rice.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The bottom right image features a plate of meat and vegetables, served with a side of rice."" is referring to top right.']"
4,4,1,COCO_val2014_000000214919.jpg,13,white container on wooden table again,6,full_sample,1556320752735,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The top left image showcases a dish with meat and vegetables, served on a bed of rice.""",top left,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",bottom left,top left,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: ""The top left image showcases a dish with meat and vegetables, served on a bed of rice.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: ""The top left image showcases a dish with meat and vegetables, served on a bed of rice.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The top left image features a dish with meat and vegetables, served on a bed of rice."" is referring to bottom left.']"
5,5,1,COCO_val2014_000000558640.jpg,13,red bowl,2,full_sample,1556320779621,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The bottom left image presents a delicious bowl of soup, filled with chunks of meat and vegetables, served on a bed of rice",bottom left,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",top left,bottom left,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: ""The bottom left image presents a delicious bowl of soup, filled with chunks of meat and vegetables, served on a bed of rice</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: ""The bottom left image presents a delicious bowl of soup, filled with chunks of meat and vegetables, served on a bed of rice? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The bottom left image displays a hearty bowl of soup, brimming with chunks of meat and vegetables."" is referring to top left.']"
6,6,1,COCO_val2014_000000159716.jpg,13,one carrot and one broccoli,5,full_sample,1556320803501,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The top right image showcases a stir-fry with chunks of beef and a medley of colorful vegetables, served on",top right,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",bottom right,top right,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: ""The top right image showcases a stir-fry with chunks of beef and a medley of colorful vegetables, served on</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: ""The top right image showcases a stir-fry with chunks of beef and a medley of colorful vegetables, served on? ASSISTANT: top right</s></s>', 'USER: wrong, ""The top right image showcases a stir-fry with chunks of beef and a medley of colorful vegetables."" is referring to bottom right.']"
7,7,1,COCO_val2014_000000256660.jpg,13,3 carrots; gravy on meat,5,full_sample,1556320830528,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The bottom right image presents a plate of meat and vegetables, served with a side of rice.""",bottom right,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",top right,bottom right,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: ""The bottom right image presents a plate of meat and vegetables, served with a side of rice.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: ""The bottom right image presents a plate of meat and vegetables, served with a side of rice.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The bottom right image displays a plate of meat and vegetables, served with a side of rice."" is referring to top right.']"
8,8,2,COCO_val2014_000000558640.jpg,13,red bowl,2,full_sample,1556320851929,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The bottom left image presents a delicious bowl of soup, filled with chunks of meat and vegetables, served on a bed of rice",bottom left,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",top left,bottom left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: ""The bottom left image presents a delicious bowl of soup, filled with chunks of meat and vegetables, served on a bed of rice</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 9', '\nWhich image is this message referring to: ""The bottom left image presents a delicious bowl of soup, filled with chunks of meat and vegetables, served on a bed of rice? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The bottom left image displays a hearty bowl of soup, brimming with chunks of meat and vegetables, served on a bed of is referring to top left.']"
9,9,2,COCO_val2014_000000256660.jpg,13,3 carrots gravy on meat,5,full_sample,1556320875609,target,True,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg']","""The bottom right image presents a plate of meat and vegetables, served with a side of rice.""",bottom right,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000214919.jpg', 'COCO_val2014_000000159716.jpg']",top right,bottom right,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: ""The bottom right image presents a plate of meat and vegetables, served with a side of rice.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: ""The bottom right image presents a plate of meat and vegetables, served with a side of rice.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The bottom right image displays a plate of meat and vegetables, served with a side of rice."" is referring to top right.']"
