,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000460732.jpg,33,the monkey is sitting in sand,6,full_sample,1556316843582,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,bottom left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",bottom left,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom left.']"
1,1,0,COCO_val2014_000000014592.jpg,33,the monkey has a bottle,5,full_sample,1556316857693,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,top left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",top left,bottom left,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to top left.']"
2,2,0,COCO_val2014_000000360318.jpg,33,the monkey looks like a baby monkey,7,full_sample,1556316877941,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,bottom right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",top right,top left,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to top right.']"
3,3,0,COCO_val2014_000000045387.jpg,33,the monkey looks like it is sitting on gravel and slightly older,12,full_sample,1556316904623,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,top right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",bottom right,top right,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom right.']"
4,4,1,COCO_val2014_000000460732.jpg,33,the monkey is sitting on sand,6,full_sample,1556316923271,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,bottom left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",bottom left,bottom right,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom left.']"
5,5,1,COCO_val2014_000000045387.jpg,33,the monkey is sitting on gravel,6,full_sample,1556316941502,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,top right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",bottom right,bottom left,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom right.']"
6,6,1,COCO_val2014_000000014592.jpg,33,the monkey has a bottle,5,full_sample,1556316954659,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,top left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",top left,bottom right,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to top left.']"
7,7,1,COCO_val2014_000000360318.jpg,33,the monkey is a baby,5,full_sample,1556316970935,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,bottom right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",top right,top left,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to top right.']"
8,8,2,COCO_val2014_000000045387.jpg,33,the monkey is sitting on gravel,6,full_sample,1556316989438,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,top right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",bottom right,top right,"['\nRound 9', '\nTarget: top right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom right.']"
9,9,2,COCO_val2014_000000460732.jpg,33,the monkey is sitting on sand,6,full_sample,1556316999981,target,True,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000360318.jpg']",A monkey eating a banana.,bottom left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",bottom left,bottom right,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom left.']"
