,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000159716.jpg,13,"broccoli, rice, peas, one carrot",5,full_sample,1556320629681,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A balanced meal with a mix of vegetables and meat. The broccoli is vibrant and appears to be cooked just",bottom left,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",bottom left,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: ""A balanced meal with a mix of vegetables and meat. The broccoli is vibrant and appears to be cooked just</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: ""A balanced meal with a mix of vegetables and meat. The broccoli is vibrant and appears to be cooked just? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Looks like a delicious meal with a variety of vegetables and meat. The broccoli is particularly noticeable."" is referring to bottom left.']"
1,1,0,COCO_val2014_000000558640.jpg,13,red bowl,2,full_sample,1556320653592,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is",top left,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",top right,top left,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: ""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: ""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is? ASSISTANT: top left</s></s>', 'USER: wrong, ""A colorful salad with a variety of vegetables. The carrots are bright orange and the broccoli is dark green. is referring to top right.']"
2,2,0,COCO_val2014_000000214919.jpg,13,white container on wooden table,5,full_sample,1556320693704,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A well-balanced meal with a variety of vegetables and meat. The beans are dark and the carrots are bright orange",bottom right,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",top left,bottom left,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: ""A well-balanced meal with a variety of vegetables and meat. The beans are dark and the carrots are bright orange</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: ""A well-balanced meal with a variety of vegetables and meat. The beans are dark and the carrots are bright orange? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""A hearty meal with a mix of vegetables and meat. The beans are dark and the carrots are bright orange. The is referring to top left.']"
3,3,0,COCO_val2014_000000256660.jpg,13,3 carrots,2,full_sample,1556320716264,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are",top right,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",bottom right,bottom right,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000214919.jpg,13,white container on wooden table again,6,full_sample,1556320752735,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A visually appealing meal with a mix of vegetables and meat. The beans are dark and the carrots are bright orange",bottom right,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",top left,top left,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: ""A visually appealing meal with a mix of vegetables and meat. The beans are dark and the carrots are bright orange</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: ""A visually appealing meal with a mix of vegetables and meat. The beans are dark and the carrots are bright orange? ASSISTANT: top left</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000558640.jpg,13,red bowl,2,full_sample,1556320779621,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is",top left,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",top right,top right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: ""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: ""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is? ASSISTANT: top right</s></s>', 'USER: correct.']"
6,6,1,COCO_val2014_000000159716.jpg,13,one carrot and one broccoli,5,full_sample,1556320803501,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are",bottom left,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",bottom left,bottom left,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
7,7,1,COCO_val2014_000000256660.jpg,13,3 carrots; gravy on meat,5,full_sample,1556320830528,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are",top right,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",bottom right,top left,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are? ASSISTANT: top left</s></s>', 'USER: wrong, ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are is referring to bottom right.']"
8,8,2,COCO_val2014_000000558640.jpg,13,red bowl,2,full_sample,1556320851929,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is",top left,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",top right,top left,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: ""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: ""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is? ASSISTANT: top left</s></s>', 'USER: wrong, ""A visually appealing meal with a mix of vegetables and meat. The carrots are bright orange and the broccoli is is referring to top right.']"
9,9,2,COCO_val2014_000000256660.jpg,13,3 carrots gravy on meat,5,full_sample,1556320875609,target,True,"['COCO_val2014_000000558640.jpg', 'COCO_val2014_000000256660.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000214919.jpg']","""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are",top right,"['COCO_val2014_000000214919.jpg', 'COCO_val2014_000000558640.jpg', 'COCO_val2014_000000159716.jpg', 'COCO_val2014_000000256660.jpg']",bottom right,bottom left,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""A visually appealing meal with a mix of vegetables and meat. The broccoli is particularly noticeable. The beans are is referring to bottom right.']"
