,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000338826.jpg,4,A house with a flag pole,6,full_sample,1555373163292,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A well-maintained garden in the city.,bottom left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",top right,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: A well-maintained garden in the city.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: A well-maintained garden in the city.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A garden in the city. is referring to top right.']"
1,1,0,COCO_val2014_000000201004.jpg,4,A building that looks like the white house,8,full_sample,1555373186118,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A small village house with a wooden door.,bottom right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",bottom left,bottom left,"['\nRound 2', '\nTarget: bottom right. Message: ASSISTANT: A small village house with a wooden door.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: A small village house with a wooden door.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000479099.jpg,4,just tree in the picture and nothing else,8,full_sample,1555373210641,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A brick wall in a park.,top left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",top left,top left,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: A brick wall in a park.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: A brick wall in a park.? ASSISTANT: top left</s></s>', 'USER: correct.']"
3,3,0,COCO_val2014_000000436138.jpg,4,a single house with a belcony,6,full_sample,1555373228982,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A small village house with a wooden door.,top right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",bottom right,bottom left,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: A small village house with a wooden door.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A small village house with a wooden door.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A small village house with a balcony. is referring to bottom right.']"
4,4,1,COCO_val2014_000000201004.jpg,4,a building that looks like the white house,8,full_sample,1555373246369,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A small village house with a balcony.,bottom right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",bottom left,bottom right,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: A small village house with a balcony.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: A small village house with a balcony.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A small village house with a wooden door. is referring to bottom left.']"
5,5,1,COCO_val2014_000000338826.jpg,4,a pic that has a flag pole,7,full_sample,1555373262251,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A well-maintained garden in the city.,bottom left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",top right,top right,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: A well-maintained garden in the city.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: A well-maintained garden in the city.? ASSISTANT: top right</s></s>', 'USER: correct.']"
6,6,1,COCO_val2014_000000436138.jpg,4,single house with belcony,4,full_sample,1555373274615,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A small village house with a wooden door.,top right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",bottom right,bottom left,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: A small village house with a wooden door.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A small village house with a wooden door.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A small village house with a balcony. is referring to bottom right.']"
7,7,1,COCO_val2014_000000479099.jpg,4,just the tree and nothing else,6,full_sample,1555373288942,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A brick wall in a park.,top left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",top left,top left,"['\nRound 8', '\nTarget: top left. Message: ASSISTANT: A brick wall in a park.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: A brick wall in a park.? ASSISTANT: top left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000201004.jpg,4,white house,2,full_sample,1555373300104,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A small village house with a balcony.,bottom right,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",bottom left,bottom left,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: A small village house with a balcony.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A small village house with a balcony.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000338826.jpg,4,flag pole,2,full_sample,1555373310489,target,True,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000436138.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg']",A well-maintained garden in the city.,bottom left,"['COCO_val2014_000000479099.jpg', 'COCO_val2014_000000338826.jpg', 'COCO_val2014_000000201004.jpg', 'COCO_val2014_000000436138.jpg']",top right,top right,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: A well-maintained garden in the city.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: A well-maintained garden in the city.? ASSISTANT: top right</s></s>', 'USER: correct.']"
