,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000541123.jpg,29,The tennis game,3,full_sample,1555373605518,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The batter is swinging at the ball.,top left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",top right,bottom left,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: The batter is swinging at the ball.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: The batter is swinging at the ball.? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The batter is swinging at the ball."" is referring to top right.']"
1,1,0,COCO_val2014_000000102478.jpg,29,"Baseball where you can see the umpire, Baseball with no slider",11,full_sample,1555373652158,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The pitcher is throwing the ball.,bottom left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",bottom left,top left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: The pitcher is throwing the ball.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: The pitcher is throwing the ball.? ASSISTANT: top left</s></s>', 'USER: wrong, The batter is waiting for the pitch. is referring to bottom left.']"
2,2,0,COCO_val2014_000000377588.jpg,29,Baseball with slider,3,full_sample,1555373665368,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The runner is sliding into home plate.,top right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",top left,bottom right,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: The runner is sliding into home plate.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: The runner is sliding into home plate.? ASSISTANT: bottom right</s></s>', 'USER: wrong, The runner is sliding into home plate. is referring to top left.']"
3,3,0,COCO_val2014_000000124712.jpg,29,Kids baseball game,3,full_sample,1555373679244,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The umpire is calling a strike.,bottom right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",bottom right,top right,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: The umpire is calling a strike.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 4', '\nWhich image is this message referring to: The umpire is calling a strike.? ASSISTANT: top right</s></s>', 'USER: wrong, The umpire is calling a strike. is referring to bottom right.']"
4,4,1,COCO_val2014_000000541123.jpg,29,They are playing tennis,4,full_sample,1555373691364,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The batter is at the plate.,top left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",top right,top left,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: The batter is at the plate.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: The batter is at the plate.? ASSISTANT: top left</s></s>', 'USER: wrong, The batter is at the plate. is referring to top right.']"
5,5,1,COCO_val2014_000000124712.jpg,29,Baseball with kids and parents,5,full_sample,1555373709068,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The catcher is crouching behind the batter.,bottom right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",bottom right,bottom left,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: The catcher is crouching behind the batter.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: The catcher is crouching behind the batter.? ASSISTANT: bottom left</s></s>', 'USER: wrong, The catcher is crouching behind the batter. is referring to bottom right.']"
6,6,1,COCO_val2014_000000102478.jpg,29,The ball is being pitched,5,full_sample,1555373727428,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The pitcher is winding up for the pitch.,bottom left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",bottom left,top left,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: The pitcher is winding up for the pitch.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: The pitcher is winding up for the pitch.? ASSISTANT: top left</s></s>', 'USER: wrong, The pitcher is winding up for the pitch. is referring to bottom left.']"
7,7,1,COCO_val2014_000000377588.jpg,29,He's sliding into second base,5,full_sample,1555373740508,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The runner is rounding third base.,top right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",top left,bottom right,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: The runner is rounding third base.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: The runner is rounding third base.? ASSISTANT: bottom right</s></s>', 'USER: wrong, The runner is rounding third base. is referring to top left.']"
8,8,2,COCO_val2014_000000124712.jpg,29,A kid is holding a bat,6,full_sample,1555373752852,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The umpire is watching the pitch.,bottom right,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",bottom right,top right,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: The umpire is watching the pitch.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 9', '\nWhich image is this message referring to: The umpire is watching the pitch.? ASSISTANT: top right</s></s>', 'USER: wrong, The umpire is watching the pitch. is referring to bottom right.']"
9,9,2,COCO_val2014_000000541123.jpg,29,They are all wearing red shirts,6,full_sample,1555373763436,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",The batter is waiting for the pitch.,top left,"['COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg']",top right,top left,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: The batter is waiting for the pitch.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: The batter is waiting for the pitch.? ASSISTANT: top left</s></s>', 'USER: wrong, The batter is waiting for the pitch. is referring to top right.']"
