,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000535312.jpg,68,bike in the living room,5,full_sample,1556320502286,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room is cluttered with various items scattered around, giving it a disorganized appearance.""",bottom left,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",bottom right,bottom left,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: ""The room is cluttered with various items scattered around, giving it a disorganized appearance.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: ""The room is cluttered with various items scattered around, giving it a disorganized appearance.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The room is messy."" is referring to bottom right.']"
1,1,0,COCO_val2014_000000468162.jpg,68,guy sleeping on couch,4,full_sample,1556320521293,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""",top left,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",top right,top left,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy."" is referring to top right.']"
2,2,0,COCO_val2014_000000391269.jpg,68,small brown leather couch next to another,7,full_sample,1556320553663,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a cozy fireplace that adds warmth and comfort to the space.""",bottom right,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",bottom left,bottom right,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: ""The room has a cozy fireplace that adds warmth and comfort to the space.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: ""The room has a cozy fireplace that adds warmth and comfort to the space.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The room has a cozy fireplace that adds warmth and comfort to the space."" is referring to bottom left.']"
3,3,0,COCO_val2014_000000427965.jpg,68,dark wood floors,3,full_sample,1556320572483,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a bookshelf filled with a variety of books, indicating a love for reading in this household.""",top right,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",top left,bottom right,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: ""The room has a bookshelf filled with a variety of books, indicating a love for reading in this household.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: ""The room has a bookshelf filled with a variety of books, indicating a love for reading in this household.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The room has a bookshelf filled with a variety of books, indicating a love for reading in this household."" is referring to top left.']"
4,4,1,COCO_val2014_000000391269.jpg,68,really messy living room,4,full_sample,1556320612902,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a bicycle leaning against the wall, suggesting that someone in the household enjoys cycling.""",bottom right,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",bottom left,bottom left,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: ""The room has a bicycle leaning against the wall, suggesting that someone in the household enjoys cycling.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: ""The room has a bicycle leaning against the wall, suggesting that someone in the household enjoys cycling.""? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000427965.jpg,68,dark wood floors,3,full_sample,1556320627223,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a television mounted on the wall, providing entertainment for those in the living space.""",top right,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",top left,top right,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: ""The room has a television mounted on the wall, providing entertainment for those in the living space.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: ""The room has a television mounted on the wall, providing entertainment for those in the living space.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The room has a television mounted on the wall, providing entertainment for those in the living space."" is referring to top left.']"
6,6,1,COCO_val2014_000000535312.jpg,68,bike in living room,4,full_sample,1556320642167,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a large rug that covers the floor, adding texture and warmth to the space.""",bottom left,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",bottom right,bottom left,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: ""The room has a large rug that covers the floor, adding texture and warmth to the space.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: ""The room has a large rug that covers the floor, adding texture and warmth to the space.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The room has a large rug that covers the floor, adding texture and warmth to the space."" is referring to bottom right.']"
7,7,1,COCO_val2014_000000468162.jpg,68,guy on couch,3,full_sample,1556320652031,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a sliding glass door that leads to a patio, offering access to the outdoors.""",top left,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",top right,top left,"['\nRound 8', '\nTarget: top left. Message: ASSISTANT: ""The room has a sliding glass door that leads to a patio, offering access to the outdoors.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: ""The room has a sliding glass door that leads to a patio, offering access to the outdoors.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The room has a sliding glass door that leads to a patio, offering access to the outdoors."" is referring to top right.']"
8,8,2,COCO_val2014_000000427965.jpg,68,dark floors,2,full_sample,1556320662704,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a chandelier hanging from the ceiling, providing a focal point and adding elegance to the space.""",top right,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",top left,top right,"['\nRound 9', '\nTarget: top right. Message: ASSISTANT: ""The room has a chandelier hanging from the ceiling, providing a focal point and adding elegance to the space.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 9', '\nWhich image is this message referring to: ""The room has a chandelier hanging from the ceiling, providing a focal point and adding elegance to the space.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The room has a chandelier hanging from the ceiling, providing a focal point and adding elegance to the space."" is referring to top left.']"
9,9,2,COCO_val2014_000000391269.jpg,68,messy living room,3,full_sample,1556320687517,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a potted plant that adds a touch of greenery and life to the space.""",bottom right,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",bottom left,bottom left,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: ""The room has a potted plant that adds a touch of greenery and life to the space.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: ""The room has a potted plant that adds a touch of greenery and life to the space.""? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
10,10,2,COCO_val2014_000000535312.jpg,68,bike,1,full_sample,1556320697195,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""",bottom left,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",bottom right,top left,"['\nRound 11', '\nTarget: bottom left. Message: ASSISTANT: ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 11', '\nWhich image is this message referring to: ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy."" is referring to bottom right.']"
11,11,2,COCO_val2014_000000468162.jpg,68,guy sleeping,2,full_sample,1556320706876,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a sliding glass door that leads to a patio, offering access to the outdoors.""",top left,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",top right,top left,"['\nRound 12', '\nTarget: top left. Message: ASSISTANT: ""The room has a sliding glass door that leads to a patio, offering access to the outdoors.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 12', '\nWhich image is this message referring to: ""The room has a sliding glass door that leads to a patio, offering access to the outdoors.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The room has a sliding glass door that leads to a patio, offering access to the outdoors."" is referring to top right.']"
12,12,3,COCO_val2014_000000391269.jpg,68,messy room,2,full_sample,1556320718225,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a cozy fireplace that adds warmth and comfort to the space.""",bottom right,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",bottom left,bottom right,"['\nRound 13', '\nTarget: bottom right. Message: ASSISTANT: ""The room has a cozy fireplace that adds warmth and comfort to the space.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 13', '\nWhich image is this message referring to: ""The room has a cozy fireplace that adds warmth and comfort to the space.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The room has a cozy fireplace that adds warmth and comfort to the space."" is referring to bottom left.']"
13,13,3,COCO_val2014_000000468162.jpg,68,guy sleeping,2,full_sample,1556320728295,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""",top left,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",top right,top left,"['\nRound 14', '\nTarget: top left. Message: ASSISTANT: ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 14', '\nWhich image is this message referring to: ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The room has a large window that lets in plenty of natural light, making the space feel bright and airy."" is referring to top right.']"
14,14,3,COCO_val2014_000000535312.jpg,68,bik,1,full_sample,1556320737001,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a large rug that covers the floor, adding texture and warmth to the space.""",bottom left,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",bottom right,bottom left,"['\nRound 15', '\nTarget: bottom left. Message: ASSISTANT: ""The room has a large rug that covers the floor, adding texture and warmth to the space.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 15', '\nWhich image is this message referring to: ""The room has a large rug that covers the floor, adding texture and warmth to the space.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The room has a large rug that covers the floor, adding texture and warmth to the space."" is referring to bottom right.']"
15,15,3,COCO_val2014_000000427965.jpg,68,dark floors,2,full_sample,1556320746525,target,True,"['COCO_val2014_000000468162.jpg', 'COCO_val2014_000000427965.jpg', 'COCO_val2014_000000535312.jpg', 'COCO_val2014_000000391269.jpg']","""The room has a chandelier hanging from the ceiling, providing a focal point and adding elegance to the space.""",top right,"['COCO_val2014_000000427965.jpg', 'COCO_val2014_000000468162.jpg', 'COCO_val2014_000000391269.jpg', 'COCO_val2014_000000535312.jpg']",top left,top right,"['\nRound 16', '\nTarget: top right. Message: ASSISTANT: ""The room has a chandelier hanging from the ceiling, providing a focal point and adding elegance to the space.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 16', '\nWhich image is this message referring to: ""The room has a chandelier hanging from the ceiling, providing a focal point and adding elegance to the space.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The room has a chandelier hanging from the ceiling, providing a focal point and adding elegance to the space."" is referring to top left.']"
