,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000019763.jpg,51,"The target had no cheese on top, The target is red on top.",13,full_sample,1556315071107,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']",A slice of pizza with a thick crust and generous toppings.,bottom left,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",bottom left,bottom left,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: A slice of pizza with a thick crust and generous toppings.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: A slice of pizza with a thick crust and generous toppings.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000050422.jpg,51,"The target had a green thing oozing out the middle of it., The target had sauce on its crust, The target has a fork on the plate",27,full_sample,1556315157461,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']","A sandwich with layers of meat, cheese, and vegetables.",top right,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",top right,bottom right,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: A sandwich with layers of meat, cheese, and vegetables.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: A sandwich with layers of meat, cheese, and vegetables.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A sandwich with layers of meat, cheese, and vegetables. is referring to top right.']"
2,2,0,COCO_val2014_000000317798.jpg,51,The target looks like a sandwich,6,full_sample,1556315189195,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']","A sandwich with layers of meat, cheese, and vegetables.",top left,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",bottom right,top right,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: A sandwich with layers of meat, cheese, and vegetables.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: A sandwich with layers of meat, cheese, and vegetables.? ASSISTANT: top right</s></s>', 'USER: wrong, A sandwich with layers of meat, cheese, and vegetables. is referring to bottom right.']"
3,3,0,COCO_val2014_000000044934.jpg,51,The target has a fork on the plate,8,full_sample,1556315217874,distr1,False,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']",A slice of pizza with generous toppings.,bottom right,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",top left,top left,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: A slice of pizza with generous toppings.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A slice of pizza with generous toppings.? ASSISTANT: top left</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000317798.jpg,51,The target looks like a sandwich,6,full_sample,1556315237613,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']","A sandwich with layers of meat, cheese, and vegetables.",top left,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",bottom right,bottom left,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: A sandwich with layers of meat, cheese, and vegetables.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: A sandwich with layers of meat, cheese, and vegetables.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A sandwich with layers of meat, cheese, and vegetables. is referring to bottom right.']"
5,5,1,COCO_val2014_000000050422.jpg,51,The target is the 1st photo with a fork on the plate,12,full_sample,1556315271295,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']",A slice of pizza with a thick crust and generous toppings.,top right,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",top right,top left,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: A slice of pizza with a thick crust and generous toppings.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 6', '\nWhich image is this message referring to: A slice of pizza with a thick crust and generous toppings.? ASSISTANT: top left</s></s>', 'USER: wrong, A sandwich with layers of meat, cheese, and vegetables. is referring to top right.']"
6,6,1,COCO_val2014_000000019763.jpg,51,The target has red sauce on top,7,full_sample,1556315287894,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']",A slice of pizza with a thick crust and generous toppings.,bottom left,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",bottom left,top left,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: A slice of pizza with a thick crust and generous toppings.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A slice of pizza with a thick crust and generous toppings.? ASSISTANT: top left</s></s>', 'USER: wrong, A slice of pizza with a thick crust and generous toppings. is referring to bottom left.']"
7,7,1,COCO_val2014_000000044934.jpg,51,The target is the unfiltered one with a fork on the plate,12,full_sample,1556315359394,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']",A pizza with a thick crust and generous toppings.,bottom right,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",top left,top left,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: A pizza with a thick crust and generous toppings.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: A pizza with a thick crust and generous toppings.? ASSISTANT: top left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000019763.jpg,51,The target has red sauce on top,7,full_sample,1556315375487,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']",A slice of pizza with a thick crust and generous toppings.,bottom left,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",bottom left,top left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: A slice of pizza with a thick crust and generous toppings.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A slice of pizza with a thick crust and generous toppings.? ASSISTANT: top left</s></s>', 'USER: wrong, A slice of pizza with a thick crust and generous toppings. is referring to bottom left.']"
9,9,2,COCO_val2014_000000044934.jpg,51,The target is the unfiltered on with a fork on the plate,12,full_sample,1556315399650,target,True,"['COCO_val2014_000000317798.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000044934.jpg']",A slice of pizza with a thick crust and generous toppings.,bottom right,"['COCO_val2014_000000044934.jpg', 'COCO_val2014_000000050422.jpg', 'COCO_val2014_000000019763.jpg', 'COCO_val2014_000000317798.jpg']",top left,top left,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: A slice of pizza with a thick crust and generous toppings.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: A slice of pizza with a thick crust and generous toppings.? ASSISTANT: top left</s></s>', 'USER: correct.']"
